plant	inflorescence	flower	table	plate	JD233	JD249	JD260	JD274	JD287	JD304	JD317	JD331	JD344	JD358	JD372	JD386	JD399
7	g	r	1	A	2	1	3	0	0	0	0	0	0	0	0	0	0
7	g	r	1	B	4	2	3	0	0	0	0	0	0	0	0	0	1
8	w	g	1	A	9	6	4	0	0	0	0	0	0	0	0	0	0
8	w	g	1	B	6	1	0	0	0	0	0	0	0	0	0	0	0
9	w	o	1	A	6	7	5	1	0	1	1	0	1	1	0	0	0
9	w	o	1	B	13	1	3	0	0	1	1	0	0	0	0	0	0
10	b	r	1	A	5	0	0	0	0	0	0	0	0	0	0	0	0
13	b	o	1	A	1	17	4	0	1	0	0	0	0	0	0	0	0
13	b	o	1	B	2	2	1	0	0	0	0	0	0	0	0	0	0
14	b	r	1	A	2	1	1	1	0	0	0	0	0	0	0	0	0
14	w	o	1	A	1	22	2	0	0	0	0	0	0	0	0	0	0
14	w	o	1	B	0	14	3	0	0	0	0	0	0	0	0	0	0
16	g	r	1	A	0	0	1	1	0	0	0	5	0	4	0	0	0
16	g	r	1	B	0	1	13	0	0	3	1	0	0	0	0	0	0
19	w	o	1	A	0	1	3	0	0	1	4	0	0	0	0	0	0
19	w	o	1	B	0	0	0	0	0	0	0	1	0	0	0	0	0
20	w	r	1	A	0	0	3	0	0	2	0	2	0	0	1	0	0
20	w	r	1	B	2	4	4	2	2	0	0	0	0	0	0	0	0
20	g	p	1	A	3	11	4	0	0	0	0	0	0	0	0	0	0
20	g	p	1	B	3	3	8	0	0	2	2	0	0	0	0	0	0
23	o	w	1	A	0	0	0	0	0	0	0	0	0	0	0	0	0
23	o	w	1	B	0	0	0	0	0	0	0	0	0	0	0	0	0
24	b	r	1	A	0	0	0	0	0	0	0	0	0	0	0	0	0
24	b	r	1	B	4	0	0	0	0	1	0	0	0	0	0	0	0
25	w	g	1	A	0	0	1	0	2	1	2	0	2	0	2	0	1
25	w	g	1	B	0	0	9	2	3	1	1	0	0	1	1	0	0
26	b	o	1	A	0	0	6	0	2	1	2	1	0	0	0	1	0
26	b	o	1	B	0	0	1	0	0	0	0	1	0	1	0	0	0
26	w	r	1	A	1	2	5	1	3	1	2	1	0	0	0	0	0
26	w	r	1	B	0	0	2	0	1	2	0	1	0	3	1	0	0
28	w	r	1	A	1	4	6	3	0	2	0	0	0	0	0	0	0
28	w	r	1	B	0	6	7	0	0	0	0	0	0	0	0	0	0
31	w	g	1	A	3	1	1	0	0	0	0	2	0	1	0	0	0
31	w	g	1	B	0	0	1	0	0	3	4	0	0	0	0	0	0
31	w	r	1	A	5	0	4	1	0	0	0	0	0	0	0	0	0
31	w	r	1	B	0	0	1	0	1	0	0	0	3	0	0	0	0
31	g	o	1	A	1	22	0	0	0	0	0	0	0	0	0	0	0
31	g	o	1	B	6	8	8	0	0	1	0	0	0	0	0	0	0
33	w	g	2	A	18	2	0	0	0	0	0	0	0	0	0	0	0
33	w	g	2	B	11	2	1	0	0	4	3	2	0	2	0	0	0
33	w	r	2	A	9	7	2	0	0	0	0	0	0	0	0	0	0
33	w	r	2	B	12	1	0	0	0	0	0	0	0	0	0	0	0
34	b	g	2	A	2	4	3	2	0	11	2	0	0	0	0	0	0
34	b	g	2	B	2	1	3	1	0	14	2	2	0	0	0	0	0
34	b	r	2	A	10	7	0	0	0	1	0	0	0	0	0	0	0
34	b	r	2	B	4	1	0	0	0	2	6	0	0	0	0	0	0
35	b	b	2	A	1	8	5	0	0	4	2	1	0	0	0	0	0
35	b	b	2	B	5	8	2	1	5	1	0	0	1	0	0	0	0
35	w	w	2	A	2	8	10	0	2	2	0	0	0	0	0	0	0
35	w	w	2	B	7	8	4	4	5	2	0	0	0	0	0	0	0
35	w	r	1	A	0	0	0	0	0	6	0	0	0	0	0	0	0
35	g	g	2	A	5	0	0	0	9	7	3	0	0	0	0	0	0
35	g	g	2	B	1	1	1	0	2	0	0	0	0	0	0	0	0
37	b	r	2	A	7	1	2	0	0	4	6	0	1	0	0	0	0
37	b	r	2	B	2	0	0	0	0	2	10	0	1	1	0	0	0
38	b	g	1	A	0	3	5	0	0	7	3	0	0	0	0	0	0
38	b	r	1	A	0	2	4	0	0	1	1	0	1	0	0	0	0
38	b	r	1	A	0	0	0	0	0	0	5	0	3	0	0	0	1
38	b	r	1	B	0	0	0	0	0	2	3	1	2	1	1	0	3
39	b	w	1	A	0	19	6	0	0	0	0	0	0	0	0	0	0
39	b	w	1	B	0	1	3	0	0	17	4	0	0	0	0	0	0
39	b	g	1	A	0	0	14	0	0	8	2	0	0	0	0	0	0
39	b	g	1	B	0	9	8	0	0	0	0	0	0	0	0	0	0
39	w	r	1	A	0	0	0	0	0	0	0	0	0	0	0	0	0
39	w	r	1	B	0	0	0	0	0	0	0	0	0	0	0	0	0
40	b	g	1	A	0	2	3	3	2	12	0	0	0	0	0	1	1
40	b	g	1	B	0	15	8	2	0	0	0	0	0	0	0	0	0
40	w	w	1	A	2	19	2	1	0	0	0	0	0	0	0	0	0
40	w	w	1	B	1	2	21	0	1	0	0	0	0	0	0	0	0
40	w	r	1	A	0	1	1	0	0	1	2	0	2	0	0	0	0
40	w	r	1	B	0	2	9	0	0	0	0	0	0	0	0	0	0
41	b	w	1	A	4	5	3	0	0	0	0	0	0	0	0	0	0
41	b	w	1	B	2	5	1	0	0	1	0	0	0	0	0	0	0
41	w	g	1	A	2	3	9	0	0	0	0	0	0	0	0	0	0
41	w	g	1	B	2	5	4	0	0	0	0	0	0	0	0	0	0
42	b	g	1	A	0	0	0	0	0	0	0	2	3	3	1	1	0
42	b	g	1	B	0	0	0	2	0	1	4	1	1	6	2	0	0
42	b	p	1	A	0	0	11	1	0	8	2	0	0	1	1	0	0
42	b	p	1	B	2	0	5	1	0	1	0	0	1	0	8	0	0
44	b	g	1	A	1	12	11	0	0	0	0	0	0	0	0	0	0
44	b	g	1	B	0	0	3	0	1	4	0	0	5	0	4	0	0
44	b	r	1	A	0	13	11	0	0	0	0	0	0	0	0	0	0
44	b	r	1	B	0	0	1	0	0	0	2	0	2	0	1	1	0
44	w	o	1	A	13	5	2	0	0	0	0	0	0	0	0	0	0
44	w	o	1	B	15	1	0	0	0	0	0	0	0	0	0	0	0
45	b	w	2	A	1	1	6	0	0	5	5	3	3	0	1	0	0
45	b	w	1	B	2	3	10	0	0	8	0	1	0	0	0	0	0
45	b	r	1	A	0	8	14	0	0	2	0	0	0	0	0	0	0
45	b	r	1	B	0	1	1	1	1	0	0	0	2	0	4	1	0
45	b	rd	1	A	3	0	4	0	0	0	2	1	0	1	0	0	0
45	b	rd	1	B	0	0	19	1	2	1	0	0	0	0	0	0	0
46	b	g	1	A	0	18	7	0	0	0	0	0	0	0	0	0	0
46	b	g	1	B	0	0	15	0	3	3	2	0	2	0	0	0	0
46	b	r	1	A	0	6	18	0	0	0	0	0	0	0	0	0	0
46	b	r	1	B	0	0	11	0	0	2	2	1	2	1	1	0	1
46	b	p	1	A	0	25	0	0	0	0	0	0	0	0	0	0	0
46	b	p	1	B	11	6	2	0	0	0	0	0	0	0	0	0	0
47	b	r	1	A	19	3	0	0	0	0	0	0	0	0	0	0	0
47	b	r	1	B	5	12	0	0	0	0	0	0	0	0	0	0	0
47	g	g	2	A	16	8	1	0	0	0	0	0	0	0	0	0	0
47	g	g	2	B	6	0	0	0	1	0	0	0	0	0	0	0	0
48	b	g	1	A	0	12	6	0	0	0	1	0	0	2	0	0	0
48	b	g	1	B	0	0	5	0	0	0	1	0	2	0	0	0	0
48	w	r	1	A	0	0	2	0	0	0	0	0	0	1	0	0	0
49	b	g	1	A	0	0	2	0	0	1	6	3	0	0	0	0	0
49	b	g	1	B	1	1	2	0	0	4	3	0	0	0	0	0	0
49	w	r	1	A	0	0	0	0	0	1	0	0	0	0	0	0	0
49	w	r	1	B	0	0	0	0	0	0	0	0	0	0	0	0	0
51	b	r	1	A	0	0	7	0	0	1	0	0	0	1	0	0	0
51	b	r	1	B	0	0	1	0	0	0	0	0	0	0	0	0	0
52	b	r	1	A	0	0	1	0	1	1	0	0	0	0	0	0	0
52	b	r	1	B	0	4	4	1	0	1	0	0	0	0	0	0	0
53	r	g	1	A	0	0	10	0	0	6	2	0	0	0	1	0	0
53	r	g	1	B	1	1	16	0	0	1	0	2	0	0	0	0	0
53	p	r	1	A	0	4	0	0	1	1	0	0	0	0	0	0	0
53	p	r	1	B	0	0	1	0	0	0	0	0	0	0	0	0	0
53	bz	o	1	A	0	0	0	0	0	0	0	0	0	0	0	0	0
53	bz	o	1	B	0	0	0	0	0	0	0	0	0	0	0	0	0
55	w	w	1	A	1	1	1	0	0	1	0	1	0	0	0	0	0
55	o	r	1	A	0	0	5	0	0	0	0	0	0	0	0	0	0
56	b	g	1	A	1	8	10	0	0	1	0	0	0	0	0	0	0
56	b	g	1	B	1	4	11	0	0	0	2	0	0	0	0	0	0
56	o	r	1	A	0	6	0	0	0	1	0	5	0	0	0	0	0
56	o	r	1	B	2	7	4	0	0	0	0	0	0	0	0	0	0
57	b	g	2	A	6	5	1	0	6	3	0	0	0	0	0	0	0
57	b	g	2	B	17	0	0	0	0	2	1	1	0	0	0	0	0
57	g	r	2	A	1	0	0	0	0	0	0	2	2	0	0	0	0
